,0
0,1.0
1,1.0
2,1.0
3,1.0
4,3.0
5,0.0
6,0.0
7,0.0
8,2.0
9,1.0
10,2.0
11,0.0
12,0.0
13,1.0
14,0.0
15,1.0
16,0.0
17,4.0
18,2.0
19,1.0
20,0.0
21,0.0
22,1.0
23,5.0
24,1.0
25,2.0
26,1.0
27,2.0
28,0.0
29,2.0
30,0.0
31,1.0
32,4.0
33,0.0
34,2.0
35,1.0
36,1.0
37,3.0
38,2.0
39,2.0
40,0.0
41,0.0
42,2.0
43,0.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,2.0
51,1.0
52,1.0
53,0.0
54,1.0
55,2.0
56,3.0
57,0.0
58,0.0
59,1.0
60,1.0
61,1.0
62,0.0
63,2.0
64,5.0
65,3.0
66,0.0
67,1.0
68,1.0
69,0.0
70,1.0
71,1.0
72,0.0
73,0.0
74,2.0
75,0.0
76,0.0
77,5.0
78,3.0
79,0.0
80,1.0
81,1.0
82,1.0
83,0.0
84,0.0
85,0.0
86,1.0
87,0.0
88,1.0
89,2.0
90,2.0
91,1.0
92,1.0
93,1.0
94,0.0
95,1.0
96,3.0
97,2.0
98,0.0
99,2.0
100,0.0
101,2.0
102,1.0
103,2.0
104,1.0
105,2.0
106,4.0
107,0.0
108,0.0
109,0.0
110,3.0
111,0.0
112,1.0
113,2.0
114,2.0
115,0.0
116,3.0
117,0.0
118,2.0
119,1.0
120,0.0
121,2.0
122,1.0
123,1.0
124,6.0
125,1.0
126,0.0
127,2.0
128,0.0
129,2.0
130,3.0
131,0.0
132,2.0
133,0.0
134,2.0
135,5.0
136,1.0
137,3.0
138,3.0
139,0.0
140,1.0
141,0.0
142,0.0
143,3.0
144,1.0
145,1.0
146,3.0
147,2.0
148,1.0
149,1.0
150,0.0
151,1.0
152,0.0
153,0.0
154,4.0
155,2.0
156,1.0
157,2.0
158,2.0
159,2.0
160,1.0
161,1.0
162,2.0
163,1.0
164,0.0
165,0.0
166,5.0
167,0.0
168,4.0
169,3.0
170,1.0
171,1.0
172,2.0
173,2.0
174,2.0
175,2.0
176,2.0
177,3.0
178,1.0
179,4.0
180,2.0
181,1.0
182,0.0
183,0.0
184,2.0
185,0.0
186,2.0
187,2.0
188,3.0
189,0.0
190,1.0
191,1.0
192,0.0
193,2.0
194,0.0
195,1.0
196,2.0
197,0.0
198,4.0
199,2.0
200,1.0
201,3.0
202,1.0
203,1.0
204,2.0
205,0.0
206,0.0
207,1.0
208,0.0
