
Average reward over all Episodes: 0.94
Average reward over all Episodes: 1.44
Average reward over last 100 Episodes: 3.38
Average reward over last 100 Episodes: 4.87
Average reward over last 100 Episodes: 5.16
Average reward over last 100 Episodes: 5.55
Average reward over last 100 Episodes: 5.87
Average reward over last 100 Episodes: 6.14
Average reward over last 100 Episodes: 6.49
Average reward over last 100 Episodes: 6.84
Average reward over last 100 Episodes: 6.85
Average reward over last 100 Episodes: 6.96
Average reward over last 100 Episodes: 7.13
Average reward over last 100 Episodes: 7.42
Average reward over last 100 Episodes: 7.71
Average reward over last 100 Episodes: 7.87
Average reward over last 100 Episodes: 7.97
Average reward over last 100 Episodes: 8.09
Average reward over last 100 Episodes: 8.41
Average reward over last 100 Episodes: 8.63
Average reward over last 100 Episodes: 8.94
Average reward over last 100 Episodes: 9.56
Average reward over last 100 Episodes: 11.03
Average reward over last 100 Episodes: 12.47
Average reward over last 100 Episodes: 12.84
Average reward over last 100 Episodes: 14.32
Average reward over last 100 Episodes: 16.05
Average reward over last 100 Episodes: 16.93
Average reward over last 100 Episodes: 19.52
Average reward over last 100 Episodes: 23.79
Average reward over last 100 Episodes: 28.74
Average reward over last 100 Episodes: 34.55
Average reward over last 100 Episodes: 42.03
Average reward over last 100 Episodes: 49.68
Average reward over last 100 Episodes: 43.26
Average reward over last 100 Episodes: 16.74
Average reward over last 100 Episodes: 10.08
Average reward over last 100 Episodes: 38.39
Average reward over last 100 Episodes: 47.46
Average reward over last 100 Episodes: 38.92
Average reward over last 100 Episodes: 55.3
Average reward over last 100 Episodes: 75.43
Average reward over last 100 Episodes: 97.06
Average reward over last 100 Episodes: 101.51
Average reward over last 100 Episodes: 64.54
Average reward over last 100 Episodes: 20.19
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 24.02
Average reward over last 100 Episodes: 24.02
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 9.73
Average reward over last 100 Episodes: 31.39
Average reward over last 100 Episodes: 31.02
Average reward over last 100 Episodes: 9.63
Average reward over last 100 Episodes: 0.27
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 9.09
Average reward over last 100 Episodes: 20.95
Average reward over last 100 Episodes: 11.89
Average reward over last 100 Episodes: 0.77
Average reward over last 100 Episodes: 9.83
Average reward over last 100 Episodes: 9.09
Average reward over last 100 Episodes: 6.42
Average reward over last 100 Episodes: 6.81
Average reward over last 100 Episodes: 11.26
Average reward over last 100 Episodes: 25.98
Average reward over last 100 Episodes: 22.93
Average reward over last 100 Episodes: 7.82
Average reward over last 100 Episodes: 6.24
Average reward over last 100 Episodes: 11.4
Average reward over last 100 Episodes: 28.78
Average reward over last 100 Episodes: 25.69
Average reward over last 100 Episodes: 2.16
Average reward over last 100 Episodes: 2.13
Average reward over last 100 Episodes: 2.04
Average reward over last 100 Episodes: 10.66
Average reward over last 100 Episodes: 10.66
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
