,0
0,0.0
1,2.0
2,0.0
3,2.0
4,0.0
5,0.0
6,0.0
7,3.0
8,1.0
9,3.0
10,2.0
11,0.0
12,0.0
13,2.0
14,1.0
15,2.0
16,2.0
17,2.0
18,1.0
19,2.0
20,3.0
21,0.0
22,0.0
23,1.0
24,0.0
25,0.0
26,2.0
27,0.0
28,2.0
29,0.0
30,1.0
31,0.0
32,0.0
33,1.0
34,1.0
35,0.0
36,2.0
37,3.0
38,0.0
39,2.0
40,0.0
41,3.0
42,3.0
43,0.0
44,2.0
45,0.0
46,0.0
47,2.0
48,2.0
49,2.0
50,1.0
51,4.0
52,2.0
53,0.0
54,0.0
55,2.0
56,3.0
57,0.0
58,1.0
59,3.0
60,0.0
61,0.0
62,4.0
63,8.0
64,4.0
65,2.0
66,4.0
67,3.0
68,1.0
69,1.0
70,2.0
71,3.0
72,2.0
73,2.0
74,0.0
75,2.0
76,1.0
77,1.0
78,3.0
79,5.0
80,2.0
81,0.0
82,2.0
83,1.0
84,2.0
85,3.0
86,1.0
87,1.0
88,4.0
89,1.0
90,2.0
91,2.0
92,3.0
93,2.0
94,7.0
95,0.0
96,4.0
97,3.0
98,7.0
99,2.0
100,11.0
101,3.0
102,9.0
103,2.0
104,5.0
105,3.0
106,3.0
107,7.0
108,7.0
109,7.0
110,3.0
111,7.0
112,7.0
113,3.0
114,2.0
115,2.0
116,2.0
117,2.0
118,4.0
119,9.0
120,3.0
121,3.0
122,4.0
123,11.0
124,11.0
125,3.0
126,11.0
127,7.0
128,9.0
129,11.0
130,4.0
131,3.0
132,7.0
133,8.0
134,7.0
135,11.0
136,2.0
137,7.0
138,11.0
139,9.0
140,5.0
141,7.0
142,2.0
143,7.0
144,7.0
145,6.0
146,7.0
147,3.0
148,7.0
149,8.0
150,2.0
151,4.0
152,3.0
153,7.0
154,4.0
155,7.0
156,3.0
157,7.0
158,2.0
159,3.0
160,7.0
161,3.0
162,3.0
163,7.0
164,7.0
165,5.0
166,3.0
167,3.0
168,11.0
169,11.0
170,9.0
171,7.0
172,3.0
173,7.0
174,7.0
175,3.0
176,3.0
177,4.0
178,4.0
179,9.0
180,8.0
181,3.0
182,3.0
183,7.0
184,8.0
185,5.0
186,3.0
187,3.0
188,8.0
189,7.0
190,3.0
191,11.0
192,4.0
193,3.0
194,3.0
195,3.0
196,11.0
197,3.0
198,3.0
199,11.0
200,3.0
201,3.0
202,4.0
203,2.0
204,7.0
205,4.0
206,4.0
207,3.0
208,3.0
209,3.0
210,7.0
211,7.0
212,4.0
213,7.0
214,5.0
215,7.0
216,8.0
217,7.0
218,3.0
219,7.0
220,3.0
221,3.0
222,3.0
223,3.0
224,11.0
225,7.0
226,11.0
227,7.0
228,3.0
229,7.0
230,1.0
231,7.0
232,8.0
233,8.0
234,3.0
235,3.0
236,7.0
237,3.0
238,4.0
239,8.0
240,5.0
241,3.0
242,8.0
243,4.0
244,3.0
245,2.0
246,3.0
247,7.0
248,2.0
249,7.0
250,11.0
251,3.0
252,4.0
