,0
0,2.0
1,2.0
2,0.0
3,1.0
4,4.0
5,0.0
6,4.0
7,3.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,2.0
15,1.0
16,1.0
17,1.0
18,0.0
19,0.0
20,2.0
21,1.0
22,3.0
23,0.0
24,0.0
25,0.0
26,1.0
27,3.0
28,1.0
29,1.0
30,0.0
31,0.0
32,2.0
33,0.0
34,1.0
35,0.0
36,1.0
37,0.0
38,2.0
39,1.0
40,2.0
41,2.0
42,0.0
43,2.0
44,2.0
45,1.0
46,0.0
47,3.0
48,2.0
49,3.0
50,1.0
51,1.0
52,0.0
53,1.0
54,1.0
55,3.0
56,0.0
57,0.0
58,0.0
59,0.0
60,2.0
61,0.0
62,1.0
63,4.0
64,1.0
65,2.0
66,1.0
67,2.0
68,1.0
69,1.0
70,0.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,0.0
77,0.0
78,0.0
79,2.0
80,1.0
81,2.0
82,0.0
83,0.0
84,1.0
85,0.0
86,0.0
87,0.0
88,1.0
89,0.0
90,1.0
91,2.0
92,2.0
93,1.0
94,1.0
95,0.0
96,0.0
97,0.0
98,2.0
99,3.0
100,0.0
101,1.0
102,2.0
103,0.0
104,3.0
105,0.0
106,1.0
107,4.0
108,0.0
109,1.0
110,1.0
111,0.0
112,0.0
113,3.0
114,0.0
115,0.0
116,2.0
117,0.0
118,0.0
119,0.0
120,1.0
121,1.0
122,1.0
123,0.0
124,2.0
125,1.0
126,0.0
127,3.0
128,1.0
129,2.0
130,0.0
131,0.0
132,0.0
133,0.0
134,1.0
135,0.0
136,4.0
137,0.0
138,0.0
139,2.0
140,1.0
141,1.0
142,0.0
143,1.0
144,2.0
145,1.0
146,1.0
147,1.0
148,0.0
149,0.0
150,3.0
151,1.0
152,1.0
153,1.0
154,3.0
155,1.0
156,2.0
157,1.0
158,0.0
159,1.0
160,0.0
161,0.0
162,2.0
163,1.0
164,1.0
165,2.0
166,3.0
167,3.0
168,0.0
169,4.0
170,1.0
171,1.0
172,4.0
173,4.0
174,0.0
175,0.0
176,1.0
177,0.0
178,4.0
179,1.0
180,1.0
181,1.0
182,3.0
183,2.0
184,4.0
185,2.0
186,1.0
187,0.0
188,4.0
189,1.0
190,0.0
191,0.0
192,2.0
193,1.0
194,1.0
195,0.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,2.0
202,1.0
203,2.0
204,1.0
205,3.0
206,1.0
207,2.0
208,2.0
209,0.0
210,3.0
211,0.0
212,1.0
213,3.0
214,3.0
215,3.0
216,4.0
217,1.0
218,4.0
219,1.0
220,3.0
221,2.0
222,4.0
223,2.0
224,3.0
225,0.0
226,5.0
227,3.0
228,4.0
229,9.0
230,3.0
231,7.0
232,7.0
233,1.0
234,3.0
235,2.0
236,3.0
237,2.0
238,7.0
239,7.0
240,7.0
241,5.0
242,4.0
243,5.0
244,7.0
245,3.0
246,4.0
247,7.0
248,7.0
249,7.0
250,8.0
251,7.0
252,3.0
253,11.0
254,3.0
255,4.0
256,5.0
257,11.0
258,7.0
259,3.0
260,7.0
261,11.0
262,11.0
263,4.0
264,8.0
265,5.0
266,2.0
267,5.0
268,1.0
269,11.0
270,7.0
271,3.0
272,7.0
273,5.0
274,5.0
275,7.0
276,2.0
277,7.0
278,3.0
279,3.0
280,2.0
281,7.0
282,4.0
283,3.0
284,3.0
285,8.0
286,7.0
287,0.0
288,7.0
289,9.0
290,8.0
291,7.0
292,3.0
293,3.0
294,4.0
295,12.0
296,4.0
297,7.0
298,3.0
299,11.0
300,7.0
301,3.0
302,7.0
303,3.0
304,7.0
305,3.0
306,7.0
307,3.0
308,3.0
309,6.0
310,7.0
311,5.0
312,7.0
313,3.0
314,6.0
315,3.0
316,7.0
317,7.0
318,11.0
319,7.0
320,3.0
321,3.0
322,4.0
323,4.0
324,4.0
325,5.0
326,3.0
327,7.0
328,8.0
329,2.0
330,7.0
331,5.0
332,3.0
333,4.0
334,7.0
335,3.0
336,3.0
337,3.0
338,2.0
339,4.0
340,7.0
341,3.0
342,9.0
343,7.0
344,8.0
345,4.0
346,7.0
347,2.0
348,3.0
349,7.0
350,7.0
351,4.0
352,3.0
353,7.0
354,2.0
355,3.0
356,6.0
357,5.0
358,2.0
359,3.0
360,7.0
361,6.0
362,3.0
363,7.0
364,3.0
365,2.0
366,2.0
367,5.0
368,7.0
369,0.0
370,7.0
371,1.0
372,11.0
373,4.0
374,12.0
375,3.0
376,8.0
377,11.0
378,4.0
379,3.0
380,7.0
381,4.0
382,3.0
383,11.0
384,7.0
385,11.0
386,7.0
387,2.0
388,7.0
389,8.0
390,3.0
391,7.0
392,7.0
393,3.0
394,7.0
395,5.0
396,3.0
397,3.0
398,3.0
399,2.0
400,11.0
401,5.0
402,7.0
403,8.0
404,7.0
405,7.0
406,7.0
407,7.0
408,3.0
409,2.0
410,7.0
411,3.0
412,11.0
413,4.0
414,3.0
415,7.0
416,7.0
417,11.0
418,3.0
419,7.0
420,7.0
421,7.0
422,3.0
423,8.0
424,11.0
425,3.0
426,7.0
427,8.0
428,3.0
429,7.0
430,7.0
431,3.0
432,9.0
433,3.0
434,3.0
435,2.0
436,3.0
437,7.0
438,4.0
439,6.0
440,4.0
441,6.0
442,2.0
443,2.0
444,2.0
445,7.0
446,3.0
447,2.0
448,2.0
449,7.0
450,9.0
451,3.0
452,6.0
453,3.0
454,7.0
455,3.0
456,7.0
457,4.0
458,2.0
459,7.0
460,8.0
461,7.0
462,2.0
463,7.0
464,11.0
465,3.0
466,3.0
467,5.0
468,7.0
469,4.0
470,7.0
471,2.0
472,3.0
473,7.0
474,4.0
475,7.0
476,2.0
477,7.0
478,7.0
479,7.0
480,4.0
481,3.0
482,3.0
483,7.0
484,11.0
485,7.0
486,3.0
487,5.0
488,4.0
489,11.0
490,11.0
491,3.0
492,7.0
493,7.0
494,7.0
495,7.0
496,9.0
497,7.0
498,3.0
499,3.0
500,3.0
501,7.0
502,7.0
503,5.0
504,7.0
505,1.0
506,7.0
507,6.0
508,7.0
509,11.0
510,3.0
511,7.0
512,3.0
513,4.0
514,8.0
515,7.0
516,7.0
517,3.0
518,7.0
519,5.0
520,7.0
521,2.0
522,7.0
523,7.0
524,8.0
525,3.0
526,7.0
527,7.0
528,2.0
529,3.0
530,7.0
531,3.0
532,7.0
533,7.0
534,3.0
535,3.0
536,3.0
537,7.0
538,7.0
539,3.0
540,7.0
541,3.0
542,11.0
543,5.0
544,5.0
545,12.0
546,7.0
547,7.0
548,11.0
549,8.0
550,4.0
551,3.0
552,4.0
553,7.0
554,3.0
555,3.0
556,8.0
557,5.0
558,11.0
559,3.0
560,7.0
561,3.0
562,3.0
563,7.0
564,3.0
565,7.0
566,7.0
567,3.0
568,3.0
569,11.0
570,3.0
571,5.0
572,9.0
573,7.0
574,7.0
575,7.0
576,7.0
577,11.0
578,5.0
579,11.0
580,9.0
581,5.0
582,7.0
583,7.0
584,4.0
585,9.0
586,3.0
587,2.0
588,3.0
589,5.0
590,4.0
591,7.0
592,3.0
593,7.0
594,7.0
595,2.0
596,7.0
597,4.0
598,7.0
599,7.0
600,3.0
601,1.0
602,11.0
603,11.0
604,8.0
605,11.0
606,8.0
607,8.0
608,4.0
609,7.0
610,3.0
611,8.0
612,4.0
613,11.0
614,5.0
615,7.0
616,5.0
617,3.0
618,3.0
619,3.0
620,11.0
621,4.0
622,2.0
623,3.0
624,7.0
625,4.0
626,11.0
627,3.0
628,11.0
629,3.0
630,7.0
631,11.0
632,3.0
633,7.0
634,7.0
635,2.0
636,7.0
637,3.0
638,9.0
639,3.0
640,7.0
641,4.0
642,7.0
643,11.0
644,4.0
645,7.0
646,7.0
647,3.0
648,7.0
649,11.0
650,3.0
651,8.0
652,11.0
653,11.0
654,7.0
655,7.0
656,5.0
657,8.0
658,7.0
659,3.0
660,3.0
661,7.0
662,4.0
663,3.0
664,7.0
665,7.0
666,5.0
667,11.0
668,3.0
669,7.0
670,7.0
671,3.0
672,7.0
673,11.0
674,3.0
675,7.0
676,7.0
677,5.0
678,8.0
679,3.0
680,7.0
681,4.0
682,8.0
683,7.0
684,3.0
685,3.0
686,11.0
687,9.0
688,7.0
689,7.0
690,5.0
691,7.0
692,7.0
693,7.0
694,11.0
695,3.0
696,11.0
697,7.0
698,11.0
699,5.0
700,7.0
701,3.0
702,3.0
703,3.0
704,7.0
705,6.0
706,2.0
707,3.0
708,4.0
709,7.0
710,3.0
711,7.0
712,7.0
713,2.0
714,3.0
715,7.0
716,3.0
717,2.0
718,7.0
719,4.0
720,11.0
721,3.0
722,11.0
723,7.0
724,3.0
725,1.0
726,7.0
727,7.0
728,8.0
729,7.0
730,3.0
731,7.0
732,7.0
733,7.0
734,4.0
735,3.0
736,6.0
737,2.0
738,2.0
739,7.0
740,7.0
741,4.0
742,7.0
743,7.0
744,5.0
745,3.0
746,5.0
747,3.0
748,3.0
749,7.0
750,3.0
751,3.0
752,5.0
753,8.0
754,6.0
755,7.0
756,7.0
757,7.0
758,7.0
759,8.0
760,3.0
761,5.0
762,5.0
763,5.0
764,3.0
765,6.0
766,7.0
767,5.0
768,11.0
769,7.0
770,7.0
771,3.0
772,7.0
773,7.0
774,7.0
775,7.0
776,7.0
777,3.0
778,8.0
779,2.0
780,7.0
781,7.0
782,4.0
783,3.0
784,11.0
785,11.0
786,7.0
787,7.0
788,9.0
789,7.0
790,3.0
791,7.0
792,7.0
793,11.0
794,11.0
795,5.0
796,3.0
797,3.0
798,11.0
799,2.0
800,7.0
801,7.0
802,3.0
803,4.0
804,3.0
805,8.0
806,7.0
807,7.0
808,3.0
809,6.0
810,3.0
811,11.0
812,11.0
813,3.0
814,7.0
815,8.0
816,7.0
817,7.0
818,9.0
819,5.0
820,11.0
821,7.0
822,7.0
823,7.0
824,3.0
825,5.0
826,12.0
827,6.0
828,7.0
829,7.0
830,3.0
831,8.0
832,6.0
833,11.0
834,6.0
835,7.0
836,4.0
837,7.0
838,7.0
839,4.0
840,7.0
841,3.0
842,3.0
843,3.0
844,5.0
845,7.0
846,2.0
847,3.0
848,5.0
849,7.0
850,4.0
851,7.0
852,7.0
853,11.0
854,11.0
855,11.0
856,9.0
857,5.0
858,8.0
859,7.0
860,7.0
861,3.0
862,7.0
863,9.0
864,4.0
865,9.0
866,7.0
867,11.0
868,11.0
869,8.0
870,7.0
871,7.0
872,5.0
873,7.0
874,3.0
875,9.0
876,4.0
877,11.0
878,7.0
879,7.0
880,8.0
881,5.0
882,11.0
883,4.0
884,3.0
885,4.0
886,7.0
887,7.0
888,11.0
889,7.0
890,8.0
891,7.0
892,7.0
893,1.0
894,7.0
895,7.0
896,5.0
897,11.0
898,11.0
899,2.0
900,7.0
901,3.0
902,7.0
903,11.0
904,4.0
905,3.0
906,4.0
907,3.0
908,7.0
909,7.0
910,3.0
911,11.0
912,9.0
913,7.0
914,7.0
915,3.0
916,2.0
917,3.0
918,7.0
919,7.0
920,4.0
921,6.0
922,8.0
923,3.0
924,10.0
925,11.0
926,12.0
927,8.0
928,7.0
929,3.0
930,7.0
931,5.0
932,4.0
933,8.0
934,7.0
935,8.0
936,7.0
937,8.0
938,4.0
939,5.0
940,7.0
941,9.0
942,8.0
943,3.0
944,3.0
945,3.0
946,3.0
947,7.0
948,7.0
949,7.0
950,8.0
951,11.0
952,5.0
953,7.0
954,10.0
955,7.0
956,3.0
957,4.0
958,7.0
959,7.0
960,3.0
961,3.0
962,3.0
963,7.0
964,4.0
965,3.0
966,7.0
967,11.0
968,2.0
969,3.0
970,5.0
971,5.0
972,7.0
973,7.0
974,11.0
975,11.0
976,3.0
977,3.0
978,3.0
979,5.0
980,7.0
981,4.0
982,6.0
983,8.0
984,7.0
985,11.0
986,11.0
987,8.0
988,6.0
989,7.0
990,7.0
991,11.0
992,8.0
993,6.0
994,8.0
995,8.0
996,5.0
997,3.0
998,1.0
999,7.0
1000,11.0
1001,4.0
1002,7.0
1003,7.0
1004,7.0
1005,3.0
1006,11.0
1007,7.0
1008,3.0
1009,8.0
1010,8.0
1011,11.0
1012,5.0
1013,2.0
1014,7.0
1015,7.0
1016,11.0
1017,2.0
1018,8.0
1019,7.0
1020,11.0
1021,11.0
1022,11.0
1023,7.0
1024,7.0
1025,7.0
1026,7.0
1027,5.0
1028,3.0
1029,11.0
1030,7.0
1031,7.0
1032,3.0
1033,7.0
1034,7.0
1035,3.0
1036,11.0
1037,3.0
1038,7.0
1039,3.0
1040,11.0
1041,7.0
1042,7.0
1043,9.0
1044,3.0
1045,11.0
1046,6.0
1047,7.0
1048,9.0
1049,11.0
1050,7.0
1051,7.0
1052,11.0
1053,7.0
1054,4.0
1055,3.0
1056,8.0
1057,7.0
1058,11.0
1059,11.0
1060,11.0
1061,8.0
1062,7.0
1063,8.0
1064,3.0
1065,2.0
1066,9.0
1067,11.0
1068,8.0
1069,3.0
1070,7.0
1071,7.0
1072,11.0
1073,7.0
1074,5.0
1075,4.0
1076,3.0
1077,2.0
1078,11.0
1079,6.0
1080,5.0
1081,4.0
1082,7.0
1083,11.0
1084,5.0
1085,16.0
1086,6.0
1087,7.0
1088,11.0
1089,3.0
1090,4.0
1091,11.0
1092,8.0
1093,8.0
1094,7.0
1095,3.0
1096,3.0
1097,9.0
1098,4.0
1099,11.0
1100,7.0
1101,7.0
1102,7.0
1103,7.0
1104,3.0
1105,11.0
1106,11.0
1107,7.0
1108,7.0
1109,7.0
1110,10.0
1111,11.0
1112,5.0
1113,11.0
1114,11.0
1115,7.0
1116,11.0
1117,6.0
1118,11.0
1119,3.0
1120,6.0
1121,8.0
1122,7.0
1123,12.0
1124,8.0
1125,11.0
1126,9.0
1127,4.0
1128,7.0
1129,7.0
1130,2.0
1131,4.0
1132,11.0
1133,3.0
1134,13.0
1135,11.0
1136,7.0
1137,11.0
1138,7.0
1139,2.0
1140,7.0
1141,3.0
1142,8.0
1143,4.0
1144,4.0
1145,3.0
1146,3.0
1147,9.0
1148,4.0
1149,9.0
1150,3.0
1151,9.0
1152,11.0
1153,8.0
1154,11.0
1155,3.0
1156,9.0
1157,11.0
1158,13.0
1159,12.0
1160,11.0
1161,7.0
1162,11.0
1163,7.0
1164,11.0
1165,7.0
1166,6.0
1167,11.0
1168,8.0
1169,11.0
1170,5.0
1171,3.0
1172,4.0
1173,11.0
1174,11.0
1175,10.0
1176,4.0
1177,5.0
1178,7.0
1179,7.0
1180,11.0
1181,3.0
1182,11.0
1183,7.0
1184,9.0
1185,11.0
1186,11.0
1187,11.0
1188,8.0
1189,12.0
1190,8.0
1191,4.0
1192,3.0
1193,3.0
1194,7.0
1195,7.0
1196,7.0
1197,11.0
1198,11.0
1199,3.0
1200,8.0
1201,7.0
1202,11.0
1203,7.0
1204,4.0
1205,4.0
1206,7.0
1207,7.0
1208,7.0
1209,2.0
1210,11.0
1211,11.0
1212,11.0
1213,6.0
1214,3.0
1215,11.0
1216,11.0
1217,8.0
1218,7.0
1219,7.0
1220,4.0
1221,4.0
1222,11.0
1223,8.0
1224,11.0
1225,7.0
1226,11.0
1227,11.0
1228,11.0
1229,7.0
1230,11.0
1231,9.0
1232,7.0
1233,8.0
1234,7.0
1235,11.0
1236,11.0
1237,11.0
1238,3.0
1239,8.0
1240,5.0
1241,9.0
1242,11.0
1243,8.0
1244,7.0
1245,12.0
1246,11.0
1247,7.0
1248,7.0
1249,8.0
1250,7.0
1251,11.0
1252,7.0
1253,4.0
1254,11.0
1255,11.0
1256,3.0
1257,8.0
1258,3.0
1259,11.0
1260,11.0
1261,11.0
1262,4.0
1263,3.0
1264,8.0
1265,12.0
1266,7.0
1267,11.0
1268,3.0
1269,7.0
1270,8.0
1271,3.0
1272,3.0
1273,11.0
1274,7.0
1275,4.0
1276,11.0
1277,11.0
1278,11.0
1279,11.0
1280,7.0
1281,11.0
1282,7.0
1283,11.0
1284,3.0
1285,7.0
1286,7.0
1287,11.0
1288,11.0
1289,7.0
1290,12.0
1291,3.0
1292,3.0
1293,3.0
1294,3.0
1295,7.0
1296,7.0
1297,11.0
1298,7.0
1299,7.0
1300,12.0
1301,7.0
1302,11.0
1303,3.0
1304,11.0
1305,8.0
1306,11.0
1307,3.0
1308,8.0
1309,3.0
1310,11.0
1311,7.0
1312,11.0
1313,3.0
1314,9.0
1315,6.0
1316,4.0
1317,6.0
1318,11.0
1319,10.0
1320,7.0
1321,11.0
1322,11.0
1323,11.0
1324,11.0
1325,10.0
1326,3.0
1327,8.0
1328,11.0
1329,5.0
1330,11.0
1331,8.0
1332,7.0
1333,11.0
1334,8.0
1335,11.0
1336,11.0
1337,7.0
1338,11.0
1339,12.0
1340,7.0
1341,9.0
1342,9.0
1343,8.0
1344,11.0
1345,11.0
1346,11.0
