,0
0,0.0
1,2.0
2,0.0
3,2.0
4,0.0
5,0.0
6,0.0
7,3.0
8,3.0
9,2.0
10,1.0
11,0.0
12,0.0
13,2.0
14,0.0
15,1.0
16,0.0
17,0.0
18,5.0
19,2.0
20,1.0
21,0.0
22,2.0
23,0.0
24,1.0
25,2.0
26,2.0
27,0.0
28,0.0
29,2.0
30,1.0
31,0.0
32,1.0
33,2.0
34,3.0
35,0.0
36,0.0
37,3.0
38,0.0
39,2.0
40,0.0
41,3.0
42,0.0
43,2.0
44,1.0
45,0.0
46,0.0
47,2.0
48,2.0
49,2.0
50,0.0
51,0.0
52,2.0
53,2.0
54,0.0
55,0.0
56,2.0
57,1.0
58,3.0
59,3.0
60,0.0
61,1.0
62,1.0
63,2.0
64,1.0
65,2.0
66,5.0
67,5.0
68,1.0
69,2.0
70,4.0
71,2.0
72,3.0
73,7.0
74,1.0
75,3.0
76,1.0
77,3.0
78,0.0
79,1.0
80,1.0
81,1.0
82,0.0
83,0.0
84,0.0
85,1.0
86,3.0
87,3.0
88,2.0
89,6.0
90,1.0
91,2.0
92,1.0
93,2.0
94,3.0
95,3.0
96,1.0
97,1.0
98,1.0
99,8.0
100,11.0
101,3.0
102,5.0
103,3.0
104,2.0
105,12.0
106,3.0
107,8.0
108,2.0
109,3.0
110,8.0
111,3.0
112,4.0
113,7.0
114,3.0
115,7.0
116,4.0
117,4.0
118,8.0
119,2.0
120,2.0
121,9.0
122,4.0
123,4.0
124,3.0
125,11.0
126,4.0
127,11.0
128,3.0
129,7.0
130,2.0
131,4.0
132,4.0
133,8.0
134,4.0
135,7.0
136,3.0
137,11.0
138,7.0
139,7.0
140,3.0
141,5.0
142,1.0
143,7.0
144,4.0
145,3.0
146,3.0
147,5.0
148,5.0
149,11.0
150,11.0
151,3.0
152,7.0
153,3.0
154,7.0
155,1.0
156,7.0
157,4.0
158,4.0
159,3.0
160,11.0
161,4.0
162,7.0
163,5.0
164,8.0
165,8.0
166,7.0
167,2.0
168,4.0
169,7.0
170,6.0
171,3.0
172,3.0
173,11.0
174,3.0
175,4.0
176,3.0
177,4.0
178,7.0
179,3.0
180,5.0
181,7.0
182,3.0
183,7.0
184,6.0
185,11.0
186,3.0
187,7.0
188,3.0
189,7.0
190,7.0
191,7.0
192,7.0
193,11.0
194,7.0
195,4.0
196,3.0
197,3.0
198,11.0
199,3.0
200,3.0
201,7.0
202,3.0
203,4.0
204,3.0
205,3.0
206,4.0
207,4.0
208,2.0
209,11.0
210,9.0
211,11.0
212,8.0
213,7.0
214,3.0
215,3.0
216,4.0
217,4.0
218,7.0
219,3.0
220,3.0
221,8.0
222,3.0
223,5.0
224,7.0
225,3.0
226,7.0
227,3.0
228,7.0
229,3.0
230,11.0
231,3.0
232,11.0
233,3.0
234,7.0
235,8.0
236,3.0
237,4.0
238,3.0
239,3.0
240,4.0
241,7.0
242,3.0
243,4.0
244,5.0
245,3.0
246,3.0
247,7.0
248,11.0
249,8.0
250,7.0
251,7.0
252,3.0
