
Average reward over all Episodes: 1.44
Average reward over all Episodes: 1.94
Average reward over last 100 Episodes: 3.63
Average reward over last 100 Episodes: 4.71
Average reward over last 100 Episodes: 4.62
Average reward over last 100 Episodes: 5.18
Average reward over last 100 Episodes: 5.92
Average reward over last 100 Episodes: 6.31
Average reward over last 100 Episodes: 6.48
Average reward over last 100 Episodes: 6.33
Average reward over last 100 Episodes: 6.52
Average reward over last 100 Episodes: 6.76
Average reward over last 100 Episodes: 6.64
Average reward over last 100 Episodes: 6.52
Average reward over last 100 Episodes: 7.02
Average reward over last 100 Episodes: 7.3
Average reward over last 100 Episodes: 7.18
Average reward over last 100 Episodes: 7.89
Average reward over last 100 Episodes: 8.32
Average reward over last 100 Episodes: 8.47
Average reward over last 100 Episodes: 9.17
Average reward over last 100 Episodes: 10.16
Average reward over last 100 Episodes: 11.03
Average reward over last 100 Episodes: 11.53
Average reward over last 100 Episodes: 12.34
Average reward over last 100 Episodes: 13.51
Average reward over last 100 Episodes: 15.27
Average reward over last 100 Episodes: 17.94
Average reward over last 100 Episodes: 19.74
Average reward over last 100 Episodes: 21.65
Average reward over last 100 Episodes: 25.13
Average reward over last 100 Episodes: 34.0
Average reward over last 100 Episodes: 43.12
Average reward over last 100 Episodes: 51.85
Average reward over last 100 Episodes: 51.04
Average reward over last 100 Episodes: 21.84
Average reward over last 100 Episodes: 5.64
Average reward over last 100 Episodes: 38.66
Average reward over last 100 Episodes: 52.82
Average reward over last 100 Episodes: 41.48
Average reward over last 100 Episodes: 56.04
Average reward over last 100 Episodes: 79.97
Average reward over last 100 Episodes: 96.28
Average reward over last 100 Episodes: 83.86
Average reward over last 100 Episodes: 57.49
Average reward over last 100 Episodes: 24.3
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 20.65
Average reward over last 100 Episodes: 20.65
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 9.06
Average reward over last 100 Episodes: 25.78
Average reward over last 100 Episodes: 27.6
Average reward over last 100 Episodes: 11.09
Average reward over last 100 Episodes: 0.21
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 1.62
Average reward over last 100 Episodes: 19.49
Average reward over last 100 Episodes: 17.89
Average reward over last 100 Episodes: 0.67
Average reward over last 100 Episodes: 7.19
Average reward over last 100 Episodes: 6.54
Average reward over last 100 Episodes: 4.35
Average reward over last 100 Episodes: 7.29
Average reward over last 100 Episodes: 12.83
Average reward over last 100 Episodes: 21.46
Average reward over last 100 Episodes: 18.52
Average reward over last 100 Episodes: 6.95
Average reward over last 100 Episodes: 1.42
Average reward over last 100 Episodes: 11.8
Average reward over last 100 Episodes: 37.38
Average reward over last 100 Episodes: 28.85
Average reward over last 100 Episodes: 1.85
Average reward over last 100 Episodes: 1.52
Average reward over last 100 Episodes: 1.52
Average reward over last 100 Episodes: 7.98
Average reward over last 100 Episodes: 7.98
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
