n,score,ave score,test score
0,0.0,-inf,-
1,2.0,-inf,-
2,1.0,-inf,-
3,0.0,-inf,-
4,0.0,-inf,-
5,0.0,-inf,-
6,4.0,-inf,-
7,11.0,-inf,-
8,11.0,-inf,-
9,11.0,-inf,-
10,8.0,-inf,-
11,3.0,-inf,-
12,0.0,-inf,-
13,0.0,-inf,-
14,0.0,-inf,-
15,0.0,-inf,-
16,0.0,-inf,-
17,0.0,-inf,-
18,0.0,-inf,-
19,4.0,-inf,-
20,1.0,-inf,-
21,0.0,-inf,-
22,0.0,-inf,-
23,0.0,-inf,-
24,0.0,-inf,-
25,0.0,-inf,-
26,1.0,-inf,-
27,0.0,-inf,-
28,1.0,-inf,-
29,4.0,-inf,-
30,10.0,-inf,-
31,8.0,-inf,-
32,11.0,-inf,-
33,11.0,-inf,-
34,7.0,-inf,-
35,0.0,-inf,-
36,0.0,-inf,-
37,1.0,-inf,-
38,0.0,-inf,-
39,0.0,-inf,-
40,1.0,-inf,-
41,0.0,-inf,-
42,2.0,-inf,-
43,0.0,-inf,-
44,0.0,-inf,-
45,2.0,-inf,-
46,0.0,-inf,-
47,0.0,-inf,-
48,0.0,-inf,-
49,0.0,-inf,-
50,0.0,-inf,0.0
51,0.0,-inf,-
52,2.0,-inf,-
53,1.0,-inf,-
54,0.0,-inf,-
55,0.0,-inf,-
56,0.0,-inf,-
57,0.0,-inf,-
58,0.0,-inf,-
59,0.0,-inf,-
60,0.0,-inf,-
61,0.0,-inf,-
62,0.0,-inf,-
63,0.0,-inf,-
64,0.0,-inf,-
65,0.0,-inf,-
66,1.0,-inf,-
67,0.0,-inf,-
68,0.0,-inf,-
69,2.0,-inf,-
70,0.0,-inf,-
71,5.0,-inf,-
72,0.0,-inf,-
73,0.0,-inf,-
74,2.0,-inf,-
75,2.0,-inf,-
76,0.0,-inf,-
77,0.0,-inf,-
78,1.0,-inf,-
79,1.0,-inf,-
80,0.0,-inf,-
81,0.0,-inf,-
82,0.0,-inf,-
83,1.0,-inf,-
84,0.0,-inf,-
85,3.0,-inf,-
86,0.0,-inf,-
87,2.0,-inf,-
88,1.0,-inf,-
89,0.0,-inf,-
90,0.0,-inf,-
91,0.0,-inf,-
92,0.0,-inf,-
93,0.0,-inf,-
94,0.0,-inf,-
95,0.0,-inf,-
96,0.0,-inf,-
97,2.0,-inf,-
98,0.0,-inf,-
99,0.0,1.41,-
100,0.0,1.41,0.0
101,1.0,1.4,-
102,0.0,1.39,-
103,0.0,1.39,-
104,0.0,1.39,-
105,6.0,1.45,-
106,2.0,1.43,-
107,1.0,1.33,-
108,1.0,1.23,-
109,1.0,1.13,-
110,0.0,1.05,-
111,2.0,1.04,-
112,0.0,1.04,-
113,1.0,1.05,-
114,0.0,1.05,-
115,0.0,1.05,-
116,0.0,1.05,-
117,2.0,1.07,-
118,0.0,1.07,-
119,0.0,1.03,-
120,0.0,1.02,-
121,1.0,1.03,-
122,0.0,1.03,-
123,0.0,1.03,-
124,2.0,1.05,-
125,0.0,1.05,-
126,2.0,1.06,-
127,0.0,1.06,-
128,0.0,1.05,-
129,1.0,1.02,-
130,1.0,0.93,-
131,1.0,0.86,-
132,2.0,0.77,-
133,0.0,0.66,-
134,0.0,0.59,-
135,1.0,0.6,-
136,0.0,0.6,-
137,0.0,0.59,-
138,0.0,0.59,-
139,0.0,0.59,-
140,0.0,0.58,-
141,0.0,0.58,-
142,0.0,0.56,-
143,0.0,0.56,-
144,1.0,0.57,-
145,0.0,0.55,-
146,1.0,0.56,-
147,0.0,0.56,-
148,1.0,0.57,-
149,1.0,0.58,-
150,2.0,0.6,0.0
151,0.0,0.6,-
152,0.0,0.58,-
153,0.0,0.57,-
154,0.0,0.57,-
155,3.0,0.6,-
156,2.0,0.62,-
157,0.0,0.62,-
158,3.0,0.65,-
159,0.0,0.65,-
160,4.0,0.69,-
161,0.0,0.69,-
162,0.0,0.69,-
163,0.0,0.69,-
164,2.0,0.71,-
165,0.0,0.71,-
166,0.0,0.7,-
167,0.0,0.7,-
168,1.0,0.71,-
169,0.0,0.69,-
170,0.0,0.69,-
171,0.0,0.64,-
172,2.0,0.66,-
173,0.0,0.66,-
174,1.0,0.65,-
175,0.0,0.63,-
176,0.0,0.63,-
177,0.0,0.63,-
178,0.0,0.62,-
179,1.0,0.62,-
180,0.0,0.62,-
181,1.0,0.63,-
182,0.0,0.63,-
183,0.0,0.62,-
184,2.0,0.64,-
185,0.0,0.61,-
186,0.0,0.61,-
187,0.0,0.59,-
188,1.0,0.59,-
189,0.0,0.59,-
190,0.0,0.59,-
191,1.0,0.6,-
192,0.0,0.6,-
193,0.0,0.6,-
194,2.0,0.62,-
195,0.0,0.62,-
196,0.0,0.62,-
197,0.0,0.6,-
198,0.0,0.6,-
199,0.0,0.6,-
200,1.0,0.61,0.0
201,1.0,0.61,-
202,0.0,0.61,-
203,0.0,0.61,-
204,0.0,0.61,-
205,2.0,0.57,-
206,2.0,0.57,-
207,1.0,0.57,-
208,0.0,0.56,-
209,0.0,0.55,-
210,1.0,0.56,-
211,1.0,0.55,-
212,0.0,0.55,-
213,2.0,0.56,-
214,0.0,0.56,-
215,0.0,0.56,-
216,0.0,0.56,-
217,0.0,0.54,-
218,2.0,0.56,-
219,3.0,0.59,-
220,0.0,0.59,-
221,0.0,0.58,-
222,0.0,0.58,-
223,2.0,0.6,-
224,0.0,0.58,-
225,0.0,0.58,-
226,2.0,0.58,-
227,0.0,0.58,-
228,1.0,0.59,-
229,0.0,0.58,-
230,1.0,0.58,-
231,0.0,0.57,-
232,2.0,0.57,-
233,0.0,0.57,-
234,0.0,0.57,-
235,0.0,0.56,-
236,0.0,0.56,-
237,2.0,0.58,-
238,0.0,0.58,-
239,1.0,0.59,-
240,0.0,0.59,-
241,2.0,0.61,-
242,0.0,0.61,-
243,0.0,0.61,-
244,0.0,0.6,-
245,2.0,0.62,-
246,0.0,0.61,-
247,0.0,0.61,-
248,0.0,0.6,-
249,0.0,0.59,-
250,0.0,0.57,0.0
251,0.0,0.57,-
252,1.0,0.58,-
253,1.0,0.59,-
254,3.0,0.62,-
255,0.0,0.59,-
256,0.0,0.57,-
257,0.0,0.57,-
258,1.0,0.55,-
259,2.0,0.57,-
260,2.0,0.55,-
261,2.0,0.57,-
262,0.0,0.57,-
263,0.0,0.57,-
264,0.0,0.55,-
265,0.0,0.55,-
266,1.0,0.56,-
267,0.0,0.56,-
268,0.0,0.55,-
269,0.0,0.55,-
270,0.0,0.55,-
271,0.0,0.55,-
272,0.0,0.53,-
273,0.0,0.53,-
274,2.0,0.54,-
275,2.0,0.56,-
276,1.0,0.57,-
277,0.0,0.57,-
278,1.0,0.58,-
279,1.0,0.58,-
280,2.0,0.6,-
281,0.0,0.59,-
282,0.0,0.59,-
283,1.0,0.6,-
284,0.0,0.58,-
285,0.0,0.58,-
286,0.0,0.58,-
287,2.0,0.6,-
288,1.0,0.6,-
289,1.0,0.61,-
290,0.0,0.61,-
291,1.0,0.61,-
292,0.0,0.61,-
293,2.0,0.63,-
294,0.0,0.61,-
295,0.0,0.61,-
296,0.0,0.61,-
297,0.0,0.61,-
298,0.0,0.61,-
299,3.0,0.64,-
300,1.0,0.64,0.0
301,0.0,0.63,-
302,1.0,0.64,-
303,0.0,0.64,-
304,0.0,0.64,-
305,0.0,0.62,-
306,0.0,0.6,-
307,2.0,0.61,-
308,1.0,0.62,-
309,2.0,0.64,-
310,1.0,0.64,-
311,2.0,0.65,-
312,1.0,0.66,-
313,0.0,0.64,-
314,0.0,0.64,-
315,0.0,0.64,-
316,0.0,0.64,-
317,0.0,0.64,-
318,3.0,0.65,-
319,0.0,0.62,-
320,0.0,0.62,-
321,0.0,0.62,-
322,0.0,0.62,-
323,0.0,0.6,-
324,0.0,0.6,-
325,3.0,0.63,-
326,0.0,0.61,-
327,0.0,0.61,-
328,0.0,0.6,-
329,0.0,0.6,-
330,0.0,0.59,-
331,3.0,0.62,-
332,0.0,0.6,-
333,0.0,0.6,-
334,0.0,0.6,-
335,0.0,0.6,-
336,0.0,0.6,-
337,1.0,0.59,-
338,1.0,0.6,-
339,0.0,0.59,-
340,2.0,0.61,-
341,0.0,0.59,-
342,0.0,0.59,-
343,0.0,0.59,-
344,0.0,0.59,-
345,0.0,0.57,-
346,2.0,0.59,-
347,3.0,0.62,-
348,1.0,0.63,-
349,1.0,0.64,-
350,0.0,0.64,0.0
351,2.0,0.66,-
352,0.0,0.65,-
353,3.0,0.67,-
354,2.0,0.66,-
355,2.0,0.68,-
356,3.0,0.71,-
357,1.0,0.72,-
358,2.0,0.73,-
359,0.0,0.71,-
360,3.0,0.72,-
361,0.0,0.7,-
362,2.0,0.72,-
363,0.0,0.72,-
364,0.0,0.72,-
365,0.0,0.72,-
366,1.0,0.72,-
367,0.0,0.72,-
368,2.0,0.74,-
369,0.0,0.74,-
370,0.0,0.74,-
371,0.0,0.74,-
372,0.0,0.74,-
373,1.0,0.75,-
374,0.0,0.73,-
375,3.0,0.74,-
376,0.0,0.73,-
377,2.0,0.75,-
378,2.0,0.76,-
379,0.0,0.75,-
380,0.0,0.73,-
381,0.0,0.73,-
382,2.0,0.75,-
383,1.0,0.75,-
384,3.0,0.78,-
385,0.0,0.78,-
386,0.0,0.78,-
387,0.0,0.76,-
388,0.0,0.75,-
389,2.0,0.76,-
390,4.0,0.8,-
391,0.0,0.79,-
392,0.0,0.79,-
393,2.0,0.79,-
394,0.0,0.79,-
395,1.0,0.8,-
396,0.0,0.8,-
397,1.0,0.81,-
398,1.0,0.82,-
399,2.0,0.81,-
400,2.0,0.82,0.0
401,2.0,0.84,-
402,1.0,0.84,-
403,0.0,0.84,-
404,0.0,0.84,-
405,0.0,0.84,-
406,4.0,0.88,-
407,2.0,0.88,-
408,0.0,0.87,-
409,0.0,0.85,-
410,0.0,0.84,-
411,0.0,0.82,-
412,0.0,0.81,-
413,0.0,0.81,-
414,0.0,0.81,-
415,1.0,0.82,-
416,0.0,0.82,-
417,1.0,0.83,-
418,1.0,0.81,-
419,0.0,0.81,-
420,0.0,0.81,-
421,0.0,0.81,-
422,1.0,0.82,-
423,0.0,0.82,-
424,0.0,0.82,-
425,0.0,0.79,-
426,0.0,0.79,-
427,1.0,0.8,-
428,1.0,0.81,-
429,0.0,0.81,-
430,0.0,0.81,-
431,0.0,0.78,-
432,0.0,0.78,-
433,0.0,0.78,-
434,3.0,0.81,-
435,0.0,0.81,-
436,0.0,0.81,-
437,0.0,0.8,-
438,0.0,0.79,-
439,0.0,0.79,-
440,2.0,0.79,-
441,0.0,0.79,-
442,1.0,0.8,-
443,1.0,0.81,-
444,0.0,0.81,-
445,2.0,0.83,-
446,0.0,0.81,-
447,1.0,0.79,-
448,0.0,0.78,-
449,0.0,0.77,-
450,0.0,0.77,0.0
451,2.0,0.77,-
452,1.0,0.78,-
453,1.0,0.76,-
454,0.0,0.74,-
455,2.0,0.74,-
456,0.0,0.71,-
457,0.0,0.7,-
458,1.0,0.69,-
459,0.0,0.69,-
460,0.0,0.66,-
461,0.0,0.66,-
462,2.0,0.66,-
463,0.0,0.66,-
464,0.0,0.66,-
465,2.0,0.68,-
466,0.0,0.67,-
467,2.0,0.69,-
468,1.0,0.68,-
469,0.0,0.68,-
470,0.0,0.68,-
471,0.0,0.68,-
472,2.0,0.7,-
473,0.0,0.69,-
474,0.0,0.69,-
475,0.0,0.66,-
476,0.0,0.66,-
477,0.0,0.64,-
478,0.0,0.62,-
