n,score,ave score,test score
0,2.0,-inf,0.0
1,2.0,-inf,-
2,3.0,-inf,-
3,0.0,-inf,-
4,0.0,-inf,-
5,1.0,-inf,-
6,3.0,-inf,-
7,2.0,-inf,-
8,1.0,-inf,-
9,0.0,-inf,-
10,2.0,-inf,-
11,0.0,-inf,-
12,0.0,-inf,-
13,3.0,-inf,-
14,2.0,-inf,-
15,0.0,-inf,-
16,2.0,-inf,-
17,0.0,-inf,-
18,2.0,-inf,-
19,1.0,-inf,-
20,0.0,-inf,-
21,2.0,-inf,-
22,3.0,-inf,-
23,1.0,-inf,-
24,2.0,-inf,-
25,2.0,-inf,-
26,3.0,-inf,-
27,2.0,-inf,-
28,0.0,-inf,-
29,2.0,-inf,-
30,3.0,-inf,-
31,3.0,-inf,-
32,2.0,-inf,-
33,2.0,-inf,-
34,2.0,-inf,-
35,4.0,-inf,-
36,0.0,-inf,-
37,0.0,-inf,-
38,0.0,-inf,-
39,0.0,-inf,-
40,0.0,-inf,-
41,0.0,-inf,-
42,0.0,-inf,-
43,0.0,-inf,-
44,2.0,-inf,-
45,3.0,-inf,-
46,0.0,-inf,-
47,0.0,-inf,-
48,0.0,-inf,-
49,0.0,-inf,-
50,0.0,-inf,1.0
51,0.0,-inf,-
52,7.0,-inf,-
53,0.0,-inf,-
54,0.0,-inf,-
55,0.0,-inf,-
56,1.0,-inf,-
57,1.0,-inf,-
58,0.0,-inf,-
59,0.0,-inf,-
60,0.0,-inf,-
61,0.0,-inf,-
62,0.0,-inf,-
63,2.0,-inf,-
64,2.0,-inf,-
65,0.0,-inf,-
66,2.0,-inf,-
67,1.0,-inf,-
68,1.0,-inf,-
69,1.0,-inf,-
70,0.0,-inf,-
71,1.0,-inf,-
72,1.0,-inf,-
73,1.0,-inf,-
74,0.0,-inf,-
75,2.0,-inf,-
76,0.0,-inf,-
77,2.0,-inf,-
78,0.0,-inf,-
79,0.0,-inf,-
80,0.0,-inf,-
81,2.0,-inf,-
82,0.0,-inf,-
83,0.0,-inf,-
84,1.0,-inf,-
85,2.0,-inf,-
86,0.0,-inf,-
87,0.0,-inf,-
88,0.0,-inf,-
89,3.0,-inf,-
90,0.0,-inf,-
91,4.0,-inf,-
92,2.0,-inf,-
93,0.0,-inf,-
94,0.0,-inf,-
95,4.0,-inf,-
96,3.0,-inf,-
97,1.0,-inf,-
98,2.0,-inf,-
99,2.0,1.15,-
