n,score,ave score,test score
0,1.0,-inf,-
1,0.0,-inf,-
2,3.0,-inf,-
3,1.0,-inf,-
4,0.0,-inf,-
5,0.0,-inf,-
6,3.0,-inf,-
7,3.0,-inf,-
8,6.0,-inf,-
9,3.0,-inf,-
10,2.0,-inf,-
11,0.0,-inf,-
12,0.0,-inf,-
13,1.0,-inf,-
14,1.0,-inf,-
15,0.0,-inf,-
16,2.0,-inf,-
17,0.0,-inf,-
18,4.0,-inf,-
19,1.0,-inf,-
20,3.0,-inf,-
21,2.0,-inf,-
22,6.0,-inf,-
23,2.0,-inf,-
24,2.0,-inf,-
25,2.0,-inf,-
26,3.0,-inf,-
27,0.0,-inf,-
28,3.0,-inf,-
29,0.0,-inf,-
30,0.0,-inf,-
31,2.0,-inf,-
32,2.0,-inf,-
33,2.0,-inf,-
34,0.0,-inf,-
35,0.0,-inf,-
36,2.0,-inf,-
37,1.0,-inf,-
38,0.0,-inf,-
39,3.0,-inf,-
40,4.0,-inf,-
41,2.0,-inf,-
42,0.0,-inf,-
43,2.0,-inf,-
44,1.0,-inf,-
45,0.0,-inf,-
46,0.0,-inf,-
47,1.0,-inf,-
48,2.0,-inf,-
49,2.0,-inf,-
50,3.0,-inf,0.0
51,4.0,-inf,-
52,3.0,-inf,-
53,2.0,-inf,-
54,3.0,-inf,-
55,2.0,-inf,-
56,2.0,-inf,-
57,0.0,-inf,-
58,1.0,-inf,-
59,0.0,-inf,-
60,0.0,-inf,-
61,1.0,-inf,-
62,0.0,-inf,-
63,3.0,-inf,-
64,2.0,-inf,-
65,2.0,-inf,-
66,3.0,-inf,-
67,3.0,-inf,-
68,3.0,-inf,-
69,1.0,-inf,-
70,2.0,-inf,-
71,0.0,-inf,-
72,2.0,-inf,-
73,0.0,-inf,-
74,3.0,-inf,-
75,2.0,-inf,-
76,2.0,-inf,-
77,2.0,-inf,-
78,0.0,-inf,-
79,1.0,-inf,-
80,3.0,-inf,-
81,3.0,-inf,-
82,4.0,-inf,-
83,3.0,-inf,-
84,2.0,-inf,-
85,0.0,-inf,-
86,1.0,-inf,-
87,0.0,-inf,-
88,1.0,-inf,-
89,0.0,-inf,-
90,2.0,-inf,-
91,0.0,-inf,-
92,2.0,-inf,-
93,0.0,-inf,-
94,0.0,-inf,-
95,2.0,-inf,-
96,5.0,-inf,-
97,3.0,-inf,-
98,0.0,-inf,-
99,5.0,1.68,-
100,4.0,1.71,0.0
101,2.0,1.73,-
102,0.0,1.7,-
103,2.0,1.71,-
104,1.0,1.72,-
105,0.0,1.72,-
106,2.0,1.71,-
107,0.0,1.68,-
108,1.0,1.63,-
109,2.0,1.62,-
110,0.0,1.6,-
111,3.0,1.63,-
112,2.0,1.65,-
113,5.0,1.69,-
114,0.0,1.68,-
115,0.0,1.68,-
116,2.0,1.68,-
117,1.0,1.69,-
118,0.0,1.65,-
119,0.0,1.64,-
120,5.0,1.66,-
121,3.0,1.67,-
122,0.0,1.61,-
123,0.0,1.59,-
124,1.0,1.58,-
125,0.0,1.56,-
126,0.0,1.53,-
127,3.0,1.56,-
128,3.0,1.56,-
129,1.0,1.57,-
130,3.0,1.6,-
131,2.0,1.6,-
132,2.0,1.6,-
133,3.0,1.61,-
134,0.0,1.61,-
135,2.0,1.63,-
136,0.0,1.61,-
137,0.0,1.6,-
138,0.0,1.6,-
139,5.0,1.62,-
140,2.0,1.6,-
141,3.0,1.61,-
142,0.0,1.61,-
143,2.0,1.61,-
144,0.0,1.6,-
145,1.0,1.61,-
146,2.0,1.63,-
147,0.0,1.62,-
148,0.0,1.6,-
149,1.0,1.59,-
150,4.0,1.6,0.0
151,3.0,1.59,-
152,3.0,1.59,-
153,1.0,1.58,-
154,4.0,1.59,-
155,2.0,1.59,-
156,2.0,1.59,-
157,4.0,1.63,-
158,0.0,1.62,-
159,0.0,1.62,-
160,2.0,1.64,-
161,0.0,1.63,-
162,0.0,1.63,-
163,0.0,1.6,-
164,3.0,1.61,-
165,2.0,1.61,-
166,3.0,1.61,-
167,0.0,1.58,-
168,4.0,1.59,-
169,2.0,1.6,-
170,0.0,1.58,-
171,3.0,1.61,-
172,1.0,1.6,-
173,2.0,1.62,-
174,1.0,1.6,-
175,3.0,1.61,-
176,2.0,1.61,-
177,3.0,1.62,-
178,0.0,1.62,-
179,2.0,1.63,-
180,0.0,1.6,-
181,2.0,1.59,-
182,3.0,1.58,-
183,3.0,1.58,-
184,2.0,1.58,-
185,0.0,1.58,-
186,4.0,1.61,-
187,2.0,1.63,-
188,1.0,1.63,-
189,2.0,1.65,-
190,0.0,1.63,-
191,0.0,1.63,-
192,3.0,1.64,-
193,2.0,1.66,-
194,2.0,1.68,-
195,3.0,1.69,-
196,0.0,1.64,-
197,3.0,1.64,-
198,3.0,1.67,-
199,2.0,1.64,-
200,3.0,1.63,0.0
201,2.0,1.63,-
202,2.0,1.65,-
203,2.0,1.65,-
204,2.0,1.66,-
205,3.0,1.69,-
206,2.0,1.69,-
207,1.0,1.7,-
208,2.0,1.71,-
209,0.0,1.69,-
210,3.0,1.72,-
211,1.0,1.7,-
212,2.0,1.7,-
213,0.0,1.65,-
214,1.0,1.66,-
215,2.0,1.68,-
216,2.0,1.68,-
217,2.0,1.69,-
218,2.0,1.71,-
219,2.0,1.73,-
220,2.0,1.7,-
221,0.0,1.67,-
222,0.0,1.67,-
223,2.0,1.69,-
224,2.0,1.7,-
225,5.0,1.75,-
226,0.0,1.75,-
227,3.0,1.75,-
228,2.0,1.74,-
229,2.0,1.75,-
230,3.0,1.75,-
231,2.0,1.75,-
232,0.0,1.73,-
233,1.0,1.71,-
234,1.0,1.72,-
235,4.0,1.74,-
236,2.0,1.76,-
237,0.0,1.76,-
238,3.0,1.79,-
239,2.0,1.76,-
240,4.0,1.78,-
241,2.0,1.77,-
242,2.0,1.79,-
243,2.0,1.79,-
244,0.0,1.79,-
245,0.0,1.78,-
246,1.0,1.77,-
247,0.0,1.77,-
248,2.0,1.79,-
249,1.0,1.79,-
250,4.0,1.79,0.0
251,0.0,1.76,-
252,2.0,1.75,-
253,0.0,1.74,-
254,0.0,1.7,-
255,3.0,1.71,-
256,0.0,1.69,-
257,2.0,1.67,-
258,2.0,1.69,-
259,0.0,1.69,-
260,2.0,1.69,-
261,1.0,1.7,-
262,2.0,1.72,-
263,2.0,1.74,-
264,2.0,1.73,-
265,2.0,1.73,-
266,2.0,1.72,-
267,0.0,1.72,-
268,2.0,1.7,-
269,3.0,1.71,-
270,2.0,1.73,-
271,3.0,1.73,-
272,1.0,1.73,-
273,2.0,1.73,-
274,0.0,1.72,-
275,3.0,1.72,-
276,0.0,1.7,-
277,5.0,1.72,-
278,2.0,1.74,-
279,2.0,1.74,-
280,0.0,1.74,-
281,4.0,1.76,-
282,0.0,1.73,-
283,4.0,1.74,-
284,2.0,1.74,-
285,3.0,1.77,-
286,2.0,1.75,-
287,3.0,1.76,-
288,2.0,1.77,-
289,2.0,1.77,-
290,2.0,1.79,-
291,3.0,1.82,-
292,3.0,1.82,-
293,0.0,1.8,-
294,2.0,1.8,-
295,4.0,1.81,-
296,0.0,1.81,-
297,1.0,1.79,-
298,0.0,1.76,-
299,1.0,1.75,-
300,1.0,1.73,0.0
301,2.0,1.73,-
302,3.0,1.74,-
303,2.0,1.74,-
304,0.0,1.72,-
305,1.0,1.7,-
306,2.0,1.7,-
307,0.0,1.69,-
308,0.0,1.67,-
309,2.0,1.69,-
310,0.0,1.66,-
311,2.0,1.67,-
312,3.0,1.68,-
313,0.0,1.68,-
314,0.0,1.67,-
315,2.0,1.67,-
316,3.0,1.68,-
317,2.0,1.68,-
318,1.0,1.67,-
319,3.0,1.68,-
320,3.0,1.69,-
321,2.0,1.71,-
322,0.0,1.71,-
323,2.0,1.71,-
324,0.0,1.69,-
325,2.0,1.66,-
326,1.0,1.67,-
327,2.0,1.66,-
328,4.0,1.68,-
329,0.0,1.66,-
330,5.0,1.68,-
331,1.0,1.67,-
332,3.0,1.7,-
333,3.0,1.72,-
334,0.0,1.71,-
335,2.0,1.69,-
336,1.0,1.68,-
337,2.0,1.7,-
338,2.0,1.69,-
339,0.0,1.67,-
340,2.0,1.65,-
341,3.0,1.66,-
342,2.0,1.66,-
343,3.0,1.67,-
344,2.0,1.69,-
345,0.0,1.69,-
346,2.0,1.7,-
347,1.0,1.71,-
348,0.0,1.69,-
349,3.0,1.71,-
350,0.0,1.67,0.0
351,0.0,1.67,-
352,4.0,1.69,-
353,0.0,1.69,-
354,0.0,1.69,-
355,0.0,1.66,-
356,3.0,1.69,-
357,5.0,1.72,-
358,2.0,1.72,-
359,2.0,1.74,-
360,0.0,1.72,-
361,4.0,1.75,-
362,2.0,1.75,-
363,2.0,1.75,-
364,3.0,1.76,-
365,0.0,1.74,-
366,4.0,1.76,-
367,2.0,1.78,-
368,3.0,1.79,-
369,0.0,1.76,-
370,4.0,1.78,-
371,3.0,1.78,-
372,2.0,1.79,-
373,4.0,1.81,-
374,13.0,1.94,-
375,4.0,1.95,-
376,2.0,1.97,-
377,2.0,1.94,-
378,1.0,1.93,-
379,0.0,1.91,-
380,2.0,1.93,-
381,3.0,1.92,-
382,3.0,1.95,-
383,3.0,1.94,-
384,2.0,1.94,-
385,2.0,1.93,-
386,1.0,1.92,-
387,0.0,1.89,-
388,4.0,1.91,-
389,0.0,1.89,-
390,0.0,1.87,-
391,2.0,1.86,-
392,0.0,1.83,-
393,4.0,1.87,-
394,2.0,1.87,-
395,1.0,1.84,-
396,2.0,1.86,-
397,2.0,1.87,-
398,3.0,1.9,-
399,0.0,1.89,-
400,0.0,1.88,0.0
401,0.0,1.86,-
402,2.0,1.85,-
403,2.0,1.85,-
404,0.0,1.85,-
405,2.0,1.86,-
406,1.0,1.85,-
407,3.0,1.88,-
408,3.0,1.91,-
409,3.0,1.92,-
410,3.0,1.95,-
411,2.0,1.95,-
412,1.0,1.93,-
413,3.0,1.96,-
414,0.0,1.96,-
415,1.0,1.95,-
416,2.0,1.94,-
417,3.0,1.95,-
418,3.0,1.97,-
419,2.0,1.96,-
420,2.0,1.95,-
421,3.0,1.96,-
422,2.0,1.98,-
