n,score,ave score,test score
0,2.0,-inf,-
1,2.0,-inf,-
2,7.0,-inf,-
3,1.0,-inf,-
4,0.0,-inf,-
5,2.0,-inf,-
6,2.0,-inf,-
7,2.0,-inf,-
8,1.0,-inf,-
9,0.0,-inf,-
10,2.0,-inf,-
11,2.0,-inf,-
12,1.0,-inf,-
13,1.0,-inf,-
14,2.0,-inf,-
15,1.0,-inf,-
16,2.0,-inf,-
17,1.0,-inf,-
18,1.0,-inf,-
19,2.0,-inf,-
20,1.0,-inf,-
21,2.0,-inf,-
22,0.0,-inf,-
23,3.0,-inf,-
24,0.0,-inf,-
25,0.0,-inf,-
26,4.0,-inf,-
27,1.0,-inf,-
28,1.0,-inf,-
29,1.0,-inf,-
30,0.0,-inf,-
31,0.0,-inf,-
32,2.0,-inf,-
33,1.0,-inf,-
34,4.0,-inf,-
35,2.0,-inf,-
36,0.0,-inf,-
37,0.0,-inf,-
38,3.0,-inf,-
39,0.0,-inf,-
40,2.0,-inf,-
41,5.0,-inf,-
42,1.0,-inf,-
43,0.0,-inf,-
44,2.0,-inf,-
45,2.0,-inf,-
46,3.0,-inf,-
47,0.0,-inf,-
48,1.0,-inf,-
49,0.0,-inf,-
50,1.0,-inf,0.0
51,1.0,-inf,-
52,2.0,-inf,-
53,2.0,-inf,-
54,0.0,-inf,-
55,1.0,-inf,-
56,0.0,-inf,-
57,0.0,-inf,-
58,3.0,-inf,-
59,3.0,-inf,-
60,3.0,-inf,-
61,0.0,-inf,-
62,4.0,-inf,-
63,0.0,-inf,-
64,0.0,-inf,-
65,0.0,-inf,-
66,1.0,-inf,-
67,2.0,-inf,-
68,1.0,-inf,-
69,2.0,-inf,-
70,1.0,-inf,-
71,4.0,-inf,-
72,3.0,-inf,-
73,2.0,-inf,-
74,1.0,-inf,-
75,1.0,-inf,-
76,3.0,-inf,-
77,0.0,-inf,-
78,1.0,-inf,-
79,1.0,-inf,-
80,0.0,-inf,-
81,0.0,-inf,-
82,1.0,-inf,-
83,0.0,-inf,-
84,1.0,-inf,-
85,0.0,-inf,-
86,3.0,-inf,-
87,0.0,-inf,-
88,1.0,-inf,-
89,0.0,-inf,-
90,1.0,-inf,-
91,2.0,-inf,-
92,0.0,-inf,-
93,1.0,-inf,-
94,3.0,-inf,-
95,0.0,-inf,-
96,1.0,-inf,-
97,2.0,-inf,-
98,2.0,-inf,-
99,3.0,1.39,-
100,1.0,1.38,0.0
101,0.0,1.36,-
102,1.0,1.3,-
103,4.0,1.33,-
104,0.0,1.33,-
105,1.0,1.32,-
106,1.0,1.31,-
107,4.0,1.33,-
108,1.0,1.33,-
109,2.0,1.35,-
110,2.0,1.35,-
111,1.0,1.34,-
112,2.0,1.35,-
113,1.0,1.35,-
114,0.0,1.33,-
115,2.0,1.34,-
116,1.0,1.33,-
117,2.0,1.34,-
118,0.0,1.33,-
119,2.0,1.33,-
120,0.0,1.32,-
121,3.0,1.33,-
122,0.0,1.33,-
123,3.0,1.33,-
124,1.0,1.34,-
125,1.0,1.35,-
126,0.0,1.31,-
127,3.0,1.33,-
128,2.0,1.34,-
129,0.0,1.33,-
130,0.0,1.33,-
131,1.0,1.34,-
132,0.0,1.32,-
133,1.0,1.32,-
134,0.0,1.28,-
135,1.0,1.27,-
136,0.0,1.27,-
137,2.0,1.29,-
138,3.0,1.29,-
139,0.0,1.29,-
140,1.0,1.28,-
141,0.0,1.23,-
142,2.0,1.24,-
143,0.0,1.24,-
144,4.0,1.26,-
145,4.0,1.28,-
