
Average reward over all Episodes: 1.04
Average reward over all Episodes: 1.42
Average reward over last 100 Episodes: 3.68
Average reward over last 100 Episodes: 5.88
Average reward over last 100 Episodes: 5.78
Average reward over last 100 Episodes: 5.55
Average reward over last 100 Episodes: 6.34
Average reward over last 100 Episodes: 7.08
Average reward over last 100 Episodes: 7.0
Average reward over last 100 Episodes: 7.26
Average reward over last 100 Episodes: 7.45
Average reward over last 100 Episodes: 7.23
Average reward over last 100 Episodes: 7.01
Average reward over last 100 Episodes: 7.33
Average reward over last 100 Episodes: 7.54
Average reward over last 100 Episodes: 7.54
Average reward over last 100 Episodes: 8.34
Average reward over last 100 Episodes: 8.15
Average reward over last 100 Episodes: 8.01
Average reward over last 100 Episodes: 8.37
Average reward over last 100 Episodes: 9.03
Average reward over last 100 Episodes: 9.82
Average reward over last 100 Episodes: 10.64
Average reward over last 100 Episodes: 11.63
Average reward over last 100 Episodes: 12.72
Average reward over last 100 Episodes: 14.69
Average reward over last 100 Episodes: 16.42
Average reward over last 100 Episodes: 18.79
Average reward over last 100 Episodes: 21.82
Average reward over last 100 Episodes: 25.31
Average reward over last 100 Episodes: 30.17
Average reward over last 100 Episodes: 36.13
Average reward over last 100 Episodes: 40.78
Average reward over last 100 Episodes: 49.72
Average reward over last 100 Episodes: 41.83
Average reward over last 100 Episodes: 13.18
Average reward over last 100 Episodes: 11.32
Average reward over last 100 Episodes: 43.45
Average reward over last 100 Episodes: 50.39
Average reward over last 100 Episodes: 47.48
Average reward over last 100 Episodes: 68.26
Average reward over last 100 Episodes: 84.16
Average reward over last 100 Episodes: 89.79
Average reward over last 100 Episodes: 91.35
Average reward over last 100 Episodes: 54.4
Average reward over last 100 Episodes: 7.72
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 27.06
Average reward over last 100 Episodes: 27.06
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 7.15
Average reward over last 100 Episodes: 27.54
Average reward over last 100 Episodes: 27.65
Average reward over last 100 Episodes: 7.51
Average reward over last 100 Episodes: 0.25
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 15.3
Average reward over last 100 Episodes: 26.89
Average reward over last 100 Episodes: 11.62
Average reward over last 100 Episodes: 6.06
Average reward over last 100 Episodes: 7.58
Average reward over last 100 Episodes: 1.55
Average reward over last 100 Episodes: 5.09
Average reward over last 100 Episodes: 5.39
Average reward over last 100 Episodes: 14.37
Average reward over last 100 Episodes: 27.15
Average reward over last 100 Episodes: 20.37
Average reward over last 100 Episodes: 7.29
Average reward over last 100 Episodes: 9.29
Average reward over last 100 Episodes: 17.77
Average reward over last 100 Episodes: 21.85
Average reward over last 100 Episodes: 15.16
Average reward over last 100 Episodes: 4.35
Average reward over last 100 Episodes: 3.21
Average reward over last 100 Episodes: 1.32
Average reward over last 100 Episodes: 10.34
Average reward over last 100 Episodes: 9.67
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
